Time, Longitude, Latitude,Engine RPM(rpm),GPS Latitude(°),GPS Longitude(°),Relative Throttle Position(%),Speed (OBD)(km/h),Throttle Position(Manifold)(%),SOC
26.2,78.12138333,9.972343333,1181.75,9.97234344,78.12138367,0.39215687,0,12.94117641,66
26.3,78.12138333,9.972343333,1123,9.97234344,78.12138367,0.39215687,0,12.94117641,66
26.4,78.12138333,9.972343333,1123,9.97234344,78.12138367,0.39215687,0,12.94117641,66
26.5,78.12138333,9.972343333,1123,9.97234344,78.12138367,0.39215687,0,12.94117641,66
26.6,78.12138333,9.972343333,1123,9.97234344,78.12138367,0.39215687,0,12.94117641,66
26.7,78.12138333,9.972343333,1123,9.97234344,78.12138367,0.39215687,0,12.94117641,66
26.8,78.12138333,9.972343333,1123,9.97234344,78.12138367,0.39215687,0,12.94117641,66
26.9,78.12138333,9.972343333,1123,9.97234344,78.12138367,0.39215687,0,12.94117641,66
27,78.12138333,9.972343333,1155.25,9.97234344,78.12138367,0.39215687,0,12.94117641,66
27.1,78.12138333,9.972343333,1155.25,9.97234344,78.12138367,0.39215687,0,12.94117641,66
27.2,78.12138333,9.972343333,1155.25,9.97234344,78.12138367,0.39215687,0,12.94117641,66
27.3,78.12138333,9.972343333,1155.25,9.97234344,78.12138367,0.39215687,0,12.94117641,66
27.4,78.12138333,9.972343333,1120.5,9.97234344,78.12138367,0.39215687,0,12.94117641,66
27.5,78.12131167,9.972336667,1120.5,9.97233677,78.121315,0.39215687,0,12.94117641,66
27.6,78.12131167,9.972336667,1120.5,9.97233677,78.121315,0.39215687,0,12.94117641,66
27.7,78.12131167,9.972336667,1120.5,9.97233677,78.121315,0.39215687,0,12.94117641,66
27.8,78.12131167,9.972336667,1120.5,9.97233677,78.121315,0.39215687,0,12.94117641,66
27.9,78.12131167,9.972336667,1120.5,9.97233677,78.121315,0.39215687,0,12.94117641,66
28,78.12131167,9.972336667,1120.5,9.97233677,78.121315,0.39215687,0,12.94117641,66
28.1,78.12131167,9.972336667,1120.5,9.97233677,78.121315,0.39215687,0,12.94117641,66
28.2,78.12131167,9.972336667,1120.5,9.97233677,78.121315,0.39215687,0,12.94117641,66
28.3,78.12131167,9.972336667,1120.5,9.97233677,78.121315,0.39215687,0,12.94117641,66
28.4,78.12109667,9.972191667,1120.5,9.97219181,78.12109375,0.39215687,0,12.94117641,66
28.5,78.12109667,9.972191667,1120.5,9.97219181,78.12109375,0.39215687,0,12.94117641,66
28.6,78.12109667,9.972191667,1120.5,9.97219181,78.12109375,0.39215687,0,12.94117641,66
28.7,78.12109667,9.972191667,1120.5,9.97219181,78.12109375,0.39215687,0,12.94117641,66
28.8,78.12109667,9.972191667,1143.75,9.97219181,78.12109375,0.39215687,0,12.94117641,66
28.9,78.12109667,9.972191667,1143.75,9.97219181,78.12109375,0.39215687,0,12.94117641,66
29,78.12109667,9.972191667,1143.75,9.97219181,78.12109375,0.39215687,0,12.94117641,66
29.1,78.12109667,9.972191667,1143.75,9.97219181,78.12109375,0.39215687,0,12.94117641,66
29.2,78.12109667,9.972191667,1143.75,9.97219181,78.12109375,0.39215687,0,12.94117641,66
29.3,78.12109667,9.972191667,1143.75,9.97219181,78.12109375,0.39215687,0,12.94117641,66
29.4,78.12105667,9.972185,1143.75,9.97218513,78.1210556,0.39215687,0,12.94117641,66
29.5,78.12105667,9.972185,1143.75,9.97218513,78.1210556,0.39215687,0,12.94117641,66
29.6,78.12105667,9.972185,1127.25,9.97218513,78.1210556,0.39215687,0,12.94117641,66
29.7,78.12105667,9.972185,1127.25,9.97218513,78.1210556,0.39215687,0,12.94117641,66
29.8,78.12105667,9.972185,1127.25,9.97218513,78.1210556,0.39215687,0,12.94117641,66
29.9,78.12105667,9.972185,1127.25,9.97218513,78.1210556,0.39215687,0,12.94117641,66
30,78.12105667,9.972185,1127.25,9.97218513,78.1210556,0.39215687,0,12.94117641,66
30.1,78.12105667,9.972185,1127.25,9.97218513,78.1210556,0.39215687,0,12.94117641,66
30.2,78.12105667,9.972185,1127.25,9.97218513,78.1210556,0.39215687,0,12.94117641,66
30.3,78.12105667,9.972185,1127.25,9.97218513,78.1210556,0.39215687,0,12.94117641,66
