Time,Relative Throttle Position(%),Speed (OBD)(km/h),SOC
45.9,5.88235283,6,66
46,0.39215687,6,66
46.1,0.39215687,6,66
46.2,0.39215687,6,66
46.3,0.39215687,6,66
46.4,0.39215687,6,66
46.5,0.39215687,6,66
46.6,0.39215687,6,66
46.7,0.39215687,6,66
46.8,1.17647064,6,66
46.9,1.17647064,6,66
47,1.17647064,6,66
47.1,1.17647064,6,66
47.2,1.17647064,6,66
47.3,1.17647064,6,66
47.4,1.17647064,6,66
47.5,1.17647064,6,66
47.6,1.17647064,6,66
47.7,1.17647064,6,66
47.8,1.17647064,6,66
47.9,2.74509811,6,66
48,2.74509811,6,66
48.1,2.74509811,6,66
48.2,2.74509811,6,66
48.3,2.74509811,6,66
48.4,2.74509811,6,66
48.5,2.74509811,6,66
48.6,2.74509811,6,66
48.7,0.78431374,6,66
48.8,0.78431374,6,66
48.9,0.78431374,6,66
49,0.78431374,6,66
49.1,0.78431374,6,66
49.2,0.78431374,6,66
49.3,2.35294127,6,66
49.4,2.35294127,6,66
49.5,2.35294127,6,66
49.6,2.35294127,6,66
49.7,2.35294127,6,66
49.8,2.35294127,6,66
49.9,2.35294127,6,66
50,2.35294127,6,66
50.1,2.35294127,6,66
50.2,2.35294127,6,66
50.3,2.35294127,6,66
50.4,2.35294127,6,66
50.5,2.35294127,6,66
50.6,2.35294127,6,66
50.7,3.13725495,6,66
50.8,3.13725495,6,66
50.9,3.13725495,6,66
51,3.13725495,6,66
51.1,3.13725495,6,66
51.2,3.13725495,6,66
51.3,2.35294127,6,66
51.4,2.35294127,6,66
51.5,2.35294127,6,66
51.6,2.35294127,6,66
51.7,2.35294127,8,66
51.8,2.35294127,8,66
51.9,2.35294127,8,66
52,5.09803915,8,66
52.1,5.09803915,8,66
52.2,5.09803915,8,66
52.3,5.09803915,8,66
52.4,5.09803915,8,66
52.5,5.09803915,8,66
52.6,5.09803915,10,66
52.7,5.09803915,10,66
52.8,5.09803915,10,66
52.9,11.37254906,10,66
53,11.37254906,10,66
53.1,11.37254906,10,66
53.2,11.37254906,14,66
53.3,11.37254906,14,66
53.4,11.37254906,14,66
53.5,11.37254906,14,66
53.6,23.13725471,14,66
53.7,23.13725471,14,66
53.8,23.13725471,14,66
53.9,23.13725471,20,66
54,23.13725471,20,66
54.1,23.13725471,20,66
54.2,23.13725471,20,66
54.3,0.39215687,20,66
54.4,0.39215687,20,66
54.5,0.39215687,20,66
54.6,0.39215687,24,66
54.7,0.39215687,24,66
54.8,0.39215687,24,66
54.9,26.27450943,24,66
55,26.27450943,24,66
55.1,26.27450943,24,66
55.2,26.27450943,28,66
55.3,26.27450943,28,66
55.4,26.27450943,28,66
55.5,26.27450943,28,66
55.6,26.27450943,28,66
55.7,26.27450943,28,66
55.8,26.27450943,28,66
55.9,26.27450943,28,66
56,26.27450943,28,66
56.1,26.27450943,33,66
56.2,26.27450943,33,66
56.3,26.27450943,33,66
56.4,0.39215687,33,66
56.5,0.39215687,33,66
56.6,0.39215687,33,66
56.7,0.39215687,33,66
56.8,0.39215687,35,66
56.9,0.39215687,35,66
57,0.39215687,35,66
57.1,0.39215687,35,66
57.2,0.39215687,35,66
57.3,0.39215687,35,66
57.4,0.39215687,35,66
57.5,0.39215687,35,66
57.6,0.39215687,35,66
57.7,0.39215687,35,66
57.8,0.39215687,35,66
57.9,4.70588255,35,66
58,4.70588255,35,66
58.1,4.70588255,35,66
58.2,4.70588255,36,66
58.3,4.70588255,36,66
58.4,4.70588255,36,66
58.5,4.70588255,36,66
58.6,4.70588255,36,66
58.7,1.56862748,36,66
58.8,1.56862748,36,66
58.9,1.56862748,36,66
59,1.56862748,37,66
59.1,1.56862748,37,66
59.2,1.56862748,37,66
59.3,1.56862748,37,66
59.4,1.56862748,37,66
59.5,1.56862748,37,66
59.6,1.56862748,37,66
59.7,0.39215687,37,66
59.8,0.39215687,37,66
59.9,0.39215687,37,66
60,0.39215687,33,66
60.1,0.39215687,33,66
60.2,0.39215687,33,66
60.3,0.39215687,33,66
60.4,0.39215687,33,66
60.5,0.39215687,33,66
60.6,1.17647064,33,66
60.7,1.17647064,33,66
60.8,1.17647064,33,66
60.9,1.17647064,30,66
61,1.17647064,30,66
61.1,1.17647064,30,66
61.2,11.37254906,30,66
61.3,11.37254906,30,66
61.4,11.37254906,30,66
61.5,11.37254906,31,66
61.6,11.37254906,31,66
61.7,11.37254906,31,66
61.8,11.37254906,31,66
61.9,11.37254906,31,66
62,6.27450991,31,66
62.1,6.27450991,31,66
62.2,6.27450991,31,66
62.3,6.27450991,33,66
62.4,6.27450991,33,66
62.5,6.27450991,33,66
62.6,6.27450991,33,66
62.7,2.74509811,33,66
62.8,2.74509811,33,66
62.9,2.74509811,33,66
63,2.74509811,33,66
63.1,2.74509811,33,66
63.2,2.74509811,33,66
63.3,2.74509811,33,66
63.4,4.31372547,33,66
63.5,4.31372547,33,66
63.6,4.31372547,33,66
63.7,4.31372547,34,66
63.8,4.31372547,34,66
63.9,4.31372547,34,66
64,2.74509811,34,66
64.1,2.74509811,34,66
64.2,2.74509811,34,66
64.3,2.74509811,34,66
64.4,2.74509811,34,66
64.5,2.74509811,34,66
64.6,2.74509811,34,66
64.7,2.74509811,34,66
64.8,2.74509811,34,66
64.9,1.17647064,34,66
65,1.17647064,34,66
65.1,1.17647064,34,66
65.2,1.17647064,34,66
65.3,1.17647064,34,66
65.4,1.17647064,34,66
65.5,3.52941179,34,66
65.6,3.52941179,34,66
65.7,3.52941179,34,66
65.8,3.52941179,34,66
65.9,3.52941179,34,66
66,3.52941179,34,66
66.1,3.52941179,34,66
66.2,3.52941179,34,66
66.3,4.70588255,34,66
66.4,4.70588255,34,66
66.5,4.70588255,34,66
66.6,4.70588255,34,66
66.7,4.70588255,34,66
66.8,4.70588255,34,66
66.9,4.70588255,34,66
67,4.70588255,34,66
67.1,0.39215687,34,66
67.2,0.39215687,34,66
67.3,0.39215687,34,66
67.4,0.39215687,34,66
67.5,0.39215687,35,66
67.6,0.39215687,35,66
67.7,0.39215687,35,66
67.8,0.39215687,35,66
67.9,0.39215687,35,66
68,0.39215687,35,66
68.1,0.39215687,33,66
68.2,0.39215687,33,66
68.3,0.39215687,33,66
68.4,0.39215687,33,66
68.5,0.78431374,33,66
68.6,0.78431374,33,66
68.7,0.78431374,33,66
68.8,0.78431374,31,66
68.9,0.78431374,31,66
69,0.78431374,31,66
69.1,0.78431374,31,66
69.2,1.17647064,31,66
69.3,1.17647064,31,66
69.4,1.17647064,31,66
69.5,1.17647064,31,66
69.6,1.17647064,30,66
69.7,1.17647064,30,66
69.8,1.17647064,30,66
69.9,0.39215687,30,66
70,0.39215687,30,66
70.1,0.39215687,30,66
70.2,0.39215687,30,66
70.3,0.39215687,30,66
70.4,0.39215687,28,66
70.5,0.39215687,28,66
70.6,0.39215687,28,66
70.7,0.39215687,28,66
70.8,1.56862748,28,66
70.9,1.56862748,28,66
71,1.56862748,28,66
71.1,1.56862748,28,66
71.2,1.56862748,28,66
71.3,1.56862748,28,66
71.4,3.92156863,28,66
71.5,3.92156863,28,66
71.6,3.92156863,28,66
71.7,3.92156863,28,66
71.8,3.92156863,28,66
71.9,3.92156863,28,66
72,3.92156863,28,66
72.1,3.92156863,28,66
72.2,3.13725495,28,66
72.3,3.13725495,28,66
72.4,3.13725495,28,66
72.5,3.13725495,28,66
72.6,3.13725495,28,66
72.7,3.13725495,28,66
72.8,3.13725495,28,66
72.9,2.74509811,28,66
73,2.74509811,28,66
73.1,2.74509811,28,66
73.2,2.74509811,28,66
73.3,2.74509811,28,66
73.4,2.74509811,28,66
73.5,2.74509811,29,66
73.6,2.74509811,29,66
73.7,2.74509811,29,66
73.8,9.8039217,29,66
73.9,9.8039217,29,66
74,9.8039217,29,66
74.1,9.8039217,29,66
74.2,9.8039217,29,66
74.3,9.8039217,30,66
74.4,9.8039217,30,66
74.5,9.8039217,30,66
74.6,9.8039217,30,66
74.7,7.45098019,30,66
74.8,7.45098019,30,66
74.9,7.45098019,30,66
75,7.45098019,32,66
75.1,7.45098019,32,66
75.2,7.45098019,32,66
75.3,7.45098019,32,66
75.4,7.45098019,32,66
75.5,7.45098019,32,66
75.6,7.45098019,32,66
75.7,5.49019623,32,66
75.8,5.49019623,32,66
75.9,5.49019623,32,66
76,5.49019623,35,66
76.1,5.49019623,35,66
76.2,5.49019623,35,66
76.3,5.49019623,35,66
76.4,5.49019623,35,66
76.5,5.88235283,35,66
76.6,5.88235283,35,66
76.7,5.88235283,35,66
76.8,5.88235283,35,66
76.9,5.88235283,36,66
77,5.88235283,36,66
77.1,5.88235283,36,66
77.2,5.88235283,36,66
77.3,5.88235283,36,66
77.4,0.39215687,36,66
77.5,0.39215687,36,66
77.6,0.39215687,36,66
77.7,0.39215687,35,66
77.8,0.39215687,35,66
77.9,0.39215687,35,66
78,3.92156863,35,66
78.1,3.92156863,35,66
78.2,3.92156863,35,66
78.3,3.92156863,35,66
78.4,3.92156863,35,66
78.5,3.92156863,34,66
78.6,3.92156863,34,66
78.7,3.92156863,34,66
78.8,3.92156863,34,66
78.9,1.56862748,34,66
79,1.56862748,34,66
79.1,1.56862748,34,66
79.2,1.56862748,34,66
79.3,1.56862748,34,66
79.4,1.56862748,34,66
79.5,1.56862748,34,66
79.6,1.56862748,34,66
79.7,0.39215687,34,66
79.8,0.39215687,34,66
79.9,0.39215687,34,66
80,0.39215687,34,66
80.1,0.39215687,34,66
80.2,0.39215687,31,66
80.3,0.39215687,31,66
80.4,0.39215687,31,66
80.5,0.39215687,31,66
80.6,0.39215687,31,66
80.7,0.39215687,31,66
80.8,0.39215687,31,66
80.9,0.39215687,31,66
81,0.39215687,27,66
81.1,0.39215687,27,66
81.2,0.39215687,27,66
81.3,1.96078432,27,66
